asset_id,name,creator,source_url,version,acquired_date,price_krw,license,commercial_use,modification_allowed,credit_required,used_in,notes,status,enabled
ASSET_FACILITY_CONSTRUCTION_V1,Asset Facility Construction V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/Construction; generated placeholder,CONFIRMED,TRUE
ASSET_FACILITY_LOCKED_V1,Asset Facility Locked V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/Locked; generated placeholder,CONFIRMED,TRUE
ASSET_FACILITY_PLOT_V1,Asset Facility Plot V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/Plot; generated placeholder,CONFIRMED,TRUE
ASSET_FACILITY_STOPPED_V1,Asset Facility Stopped V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/Stopped; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_ALCHEMY_PLACEHOLDER_V1,Asset Fac Alchemy Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_ALCHEMY; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_BLACKSMITH_PLACEHOLDER_V1,Asset Fac Blacksmith Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_BLACKSMITH; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_GUILD_PLACEHOLDER_V1,Asset Fac Guild Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_GUILD; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_INFIRMARY_PLACEHOLDER_V1,Asset Fac Infirmary Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_INFIRMARY; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_LODGE_PLACEHOLDER_V1,Asset Fac Lodge Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_LODGE; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_STORE_PLACEHOLDER_V1,Asset Fac Store Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_STORE; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_TAVERN_PLACEHOLDER_V1,Asset Fac Tavern Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_TAVERN; generated placeholder,CONFIRMED,TRUE
ASSET_FAC_WAREHOUSE_PLACEHOLDER_V1,Asset Fac Warehouse Placeholder V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/FAC_WAREHOUSE; generated placeholder,CONFIRMED,TRUE
ASSET_KINGDOM_BACKGROUND_V1,Asset Kingdom Background V1,KingdomTycoon Editor Generator,,1,2026-07-19,0,PROJECT_INTERNAL,TRUE,TRUE,FALSE,P04 Kingdom,address=P04/Kingdom/Background; generated placeholder,CONFIRMED,TRUE
ASSET_MERC_PLACEHOLDER_ARCHER_V1,Internal Archer Placeholder,KINGDOM_TYCOON_TEAM,,1,2026-07-18,0,INTERNAL,TRUE,TRUE,FALSE,MERCENARY_APPEARANCE,Built-in production-valid placeholder,CONFIRMED,TRUE
ASSET_MERC_PLACEHOLDER_CLERIC_V1,Internal Cleric Placeholder,KINGDOM_TYCOON_TEAM,,1,2026-07-18,0,INTERNAL,TRUE,TRUE,FALSE,MERCENARY_APPEARANCE,Built-in production-valid placeholder,CONFIRMED,TRUE
ASSET_MERC_PLACEHOLDER_GUARDIAN_V1,Internal Guardian Placeholder,KINGDOM_TYCOON_TEAM,,1,2026-07-18,0,INTERNAL,TRUE,TRUE,FALSE,MERCENARY_APPEARANCE,Built-in production-valid placeholder,CONFIRMED,TRUE
ASSET_MERC_PLACEHOLDER_MAGE_V1,Internal Mage Placeholder,KINGDOM_TYCOON_TEAM,,1,2026-07-18,0,INTERNAL,TRUE,TRUE,FALSE,MERCENARY_APPEARANCE,Built-in production-valid placeholder,CONFIRMED,TRUE
ASSET_MERC_PLACEHOLDER_WARRIOR_V1,Internal Warrior Placeholder,KINGDOM_TYCOON_TEAM,,1,2026-07-18,0,INTERNAL,TRUE,TRUE,FALSE,MERCENARY_APPEARANCE,Built-in production-valid placeholder,CONFIRMED,TRUE
ASSET_P06_CHARACTER_ARCHER,P06 Archer Character,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Characters/JOB_ARCHER; logical asset,CONFIRMED,TRUE
ASSET_P06_CHARACTER_CLERIC,P06 Cleric Character,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Characters/JOB_CLERIC; logical asset,CONFIRMED,TRUE
ASSET_P06_CHARACTER_GUARDIAN,P06 Guardian Character,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Characters/JOB_GUARDIAN; logical asset,CONFIRMED,TRUE
ASSET_P06_CHARACTER_MAGE,P06 Mage Character,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Characters/JOB_MAGE; logical asset,CONFIRMED,TRUE
ASSET_P06_CHARACTER_WARRIOR,P06 Warrior Character,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Characters/JOB_WARRIOR; logical asset,CONFIRMED,TRUE
ASSET_P06_ICON_BARRIER,P06 STATUS_BARRIER Icon,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Status/STATUS_BARRIER; logical asset,CONFIRMED,TRUE
ASSET_P06_ICON_BLESSING,P06 STATUS_BLESSING Icon,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Status/STATUS_BLESSING; logical asset,CONFIRMED,TRUE
ASSET_P06_ICON_BURN,P06 STATUS_BURN Icon,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Status/STATUS_BURN; logical asset,CONFIRMED,TRUE
ASSET_P06_ICON_POISON,P06 STATUS_POISON Icon,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Status/STATUS_POISON; logical asset,CONFIRMED,TRUE
ASSET_P06_ICON_SLOW,P06 STATUS_SLOW Icon,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Status/STATUS_SLOW; logical asset,CONFIRMED,TRUE
ASSET_P06_ICON_TAUNT,P06 STATUS_TAUNT Icon,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,address=P06/Status/STATUS_TAUNT; logical asset,CONFIRMED,TRUE
ASSET_P06_MONSTER_ELITE,P06 Elite Monster,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,Editor-generated 128px sprite,CONFIRMED,TRUE
ASSET_P06_MONSTER_MELEE,P06 Melee Monster,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,Editor-generated 96px sprite,CONFIRMED,TRUE
ASSET_P06_PROJECTILE,P06 Projectile,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,Editor-generated 24px sprite,CONFIRMED,TRUE
ASSET_P06_TILE_MEADOW,P06 Meadow Tile,INTERNAL,,1,2026-07-21,0,Project,TRUE,TRUE,FALSE,P06,Editor-generated 64px tile,CONFIRMED,TRUE
