name_pool_id,locale,entry_no,display_name,weight,status,enabled
NAME_POOL_KO_V1,ko-KR,1,레온,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,2,미라,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,3,카인,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,4,세라,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,5,로웬,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,6,이안,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,7,루나,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,8,테오,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,9,아린,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,10,다온,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,11,하린,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,12,벨라,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,13,로안,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,14,유나,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,15,시온,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,16,라엘,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,17,에린,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,18,노아,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,19,리안,100,TUNABLE,TRUE
NAME_POOL_KO_V1,ko-KR,20,소라,100,TUNABLE,TRUE
