config_key,value_type,value,unit,min_value,max_value,description_text_key,status,enabled
ACTIVE_MERC_CAP_V1,INTEGER,16,COUNT,1,24,TXT_ACTIVE_MERC_CAP_V1_DESCRIPTION,TUNABLE,TRUE
DEFAULT_HP_RETURN_THRESHOLD,DECIMAL,0.3,RATIO,0,1,TXT_DEFAULT_HP_RETURN_THRESHOLD_DESCRIPTION,TUNABLE,TRUE
DISMANTLE_ENHANCE_REFUND,DECIMAL,0.7,RATIO,0,1,TXT_DISMANTLE_ENHANCE_REFUND_DESCRIPTION,TUNABLE,TRUE
EQUIPMENT_UPGRADE_THRESHOLD,DECIMAL,0.05,RATIO,0,1,TXT_EQUIPMENT_UPGRADE_THRESHOLD_DESCRIPTION,TUNABLE,TRUE
INVENTORY_RETURN_THRESHOLD,DECIMAL,0.9,RATIO,0,1,TXT_INVENTORY_RETURN_THRESHOLD_DESCRIPTION,TUNABLE,TRUE
OFFLINE_HUNT_EFFICIENCY,DECIMAL,0.75,RATIO,0,1,TXT_OFFLINE_HUNT_EFFICIENCY_DESCRIPTION,TUNABLE,TRUE
OFFLINE_MAX_HOURS,INTEGER,8,HOURS,0,24,TXT_OFFLINE_MAX_HOURS_DESCRIPTION,TUNABLE,TRUE
P04_AUTOSAVE_DEBOUNCE_SECONDS,DECIMAL,0.5,SECONDS,0,5,TXT_P04_AUTOSAVE_DEBOUNCE_DESC,TUNABLE,TRUE
P04_DRAWER_ANIMATION_SECONDS,DECIMAL,0.22,SECONDS,0,1,TXT_P04_DRAWER_DURATION_DESC,TUNABLE,TRUE
P04_TEST_CLOCK_MODE,BOOLEAN,FALSE,BOOL,,,TXT_P04_DEV_CLOCK_DESC,CONFIRMED,TRUE
P04_TIMER_UI_TICK_SECONDS,DECIMAL,1,SECONDS,0.1,5,TXT_P04_TIMER_TICK_DESC,TUNABLE,TRUE
P06_ARMOR_K,INTEGER,100,POINT,1,1000,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_BASIC_ATTACK_COEFFICIENT_BPS,INTEGER,10000,BPS,1000,50000,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_CONTRIBUTION_COMBAT_CAP,INTEGER,1000,POINT,1,100000,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_DAMAGE_MIN,INTEGER,1,HP,1,100,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_LEASH_DISTANCE_MILLI,INTEGER,12000,MILLI_TILE,1000,30000,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_MAX_CATCHUP_TICKS,INTEGER,5,TICKS,0,10,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_MAX_PATH_RETRIES,INTEGER,3,COUNT,0,10,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_MAX_RUNTIME_ENTITIES,INTEGER,60,COUNT,10,60,TXT_P06_REGION_TITLE,CONFIRMED,TRUE
P06_PATH_CACHE_CAPACITY,INTEGER,128,ENTRIES,0,512,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_PATH_EXPANSIONS_PER_TICK,INTEGER,240,NODES,32,2048,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_PATH_REPLAN_COOLDOWN_TICKS,INTEGER,5,TICKS,1,50,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_SIMULATION_TICK_HZ,INTEGER,10,HZ,5,30,TXT_P06_REGION_TITLE,CONFIRMED,TRUE
P06_STUCK_TICKS,INTEGER,20,TICKS,5,100,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P06_THREAT_DECAY_BPS_PER_TICK,INTEGER,50,BPS,0,1000,TXT_P06_REGION_TITLE,TUNABLE,TRUE
P07_AUTO_EQUIP_ENABLED,BOOLEAN,TRUE,BOOL,,,TXT_P07_AUTO_EQUIP,TUNABLE,TRUE
P07_AUTO_SELL_ENABLED,BOOLEAN,TRUE,BOOL,,,TXT_P07_AUTO_SELL,TUNABLE,TRUE
P07_AUTO_SELL_MAX_TIER,INTEGER,1,TIER,0,5,TXT_P07_AUTO_SELL,TUNABLE,TRUE
P07_EQUIPMENT_SELL_RATE_BPS,INTEGER,2500,BPS,0,10000,TXT_P07_SELL,TUNABLE,TRUE
P07_MAX_LIVE_ITEM_VIEWS,INTEGER,30,COUNT,8,40,TXT_P07_INVENTORY_TITLE,CONFIRMED,TRUE
P07_MAX_PAGE_SIZE,INTEGER,100,COUNT,1,100,TXT_P07_INVENTORY_TITLE,CONFIRMED,TRUE
P08_EQUIPMENT_ACQUIRE_BPS,INTEGER,2500,BPS,1,10000,TXT_P08_STORE_TITLE,TUNABLE,TRUE
P08_ITEM_CUSTOMER_MARKUP_BPS,INTEGER,20000,BPS,10000,50000,TXT_P08_STORE_TITLE,TUNABLE,TRUE
P08_LEDGER_MAX_ENTRIES,INTEGER,200,COUNT,50,500,TXT_P08_RECENT_ACTIVITY,TUNABLE,TRUE
P08_MAX_AUTONOMY_COMMANDS,INTEGER,48,COUNT,1,48,TXT_P08_REASON_NONE,TUNABLE,TRUE
P08_MAX_BUY_LINES,INTEGER,16,COUNT,1,16,TXT_P08_BUY,TUNABLE,TRUE
P08_MAX_LIVE_PRODUCT_VIEWS,INTEGER,24,COUNT,12,40,TXT_P08_STORE_TITLE,TUNABLE,TRUE
P08_MAX_SELL_LINES,INTEGER,32,COUNT,1,32,TXT_P08_SELL,TUNABLE,TRUE
P08_POTION_BASE_SMALL,INTEGER,40,GOLD,1,10000,TXT_POT_HEAL_SMALL_NAME,TUNABLE,TRUE
P08_QUOTE_TTL_SECONDS,INTEGER,30,SECONDS,5,120,TXT_P08_CONFIRM_TITLE,TUNABLE,TRUE
P08_STORE_TIMEOUT_SECONDS,INTEGER,10,SECONDS,1,30,TXT_P08_STATE_ERROR,TUNABLE,TRUE
P08_SUPPLY_REFRESH_BUY_COUNT,INTEGER,8,COUNT,1,100,TXT_P08_SYSTEM_SUPPLY,TUNABLE,TRUE
P14_EVENT_MAX_ENTRIES,INTEGER,200,COUNT,50,500,TXT_P14_EVENT_MAX_ENTRIES,TUNABLE,TRUE
P14_FAILURE_INJURY_SECONDS,INTEGER,1800,SECONDS,0,86400,TXT_P14_FAILURE_INJURY_SECONDS,TUNABLE,TRUE
P14_HISTORY_MAX_ENTRIES,INTEGER,50,COUNT,10,100,TXT_P14_HISTORY_MAX_ENTRIES,TUNABLE,TRUE
P14_MAX_TRACE_FRAMES,INTEGER,360,COUNT,60,600,TXT_P14_MAX_TRACE_FRAMES,CONFIRMED,TRUE
P14_SIMULATION_TICK_HZ,INTEGER,10,HZ,5,30,TXT_P14_SIMULATION_TICK_HZ,CONFIRMED,TRUE
P14_SUCCESS_INJURY_SECONDS,INTEGER,600,SECONDS,0,86400,TXT_P14_SUCCESS_INJURY_SECONDS,TUNABLE,TRUE
P14_TRACE_INTERVAL_TICKS,INTEGER,10,TICKS,1,100,TXT_P14_TRACE_INTERVAL_TICKS,TUNABLE,TRUE
P15_CLOCK_ROLLBACK_TOLERANCE_SECONDS,INTEGER,2,SECONDS,0,60,TXT_P15_CLOCK_ROLLBACK_TOLERANCE,TUNABLE,TRUE
P15_OFFLINE_HISTORY_MAX_ENTRIES,INTEGER,20,COUNT,1,100,TXT_P15_OFFLINE_HISTORY_MAX_ENTRIES,TUNABLE,TRUE
P15_OFFLINE_MAX_SECONDS,INTEGER,28800,SECONDS,0,86400,TXT_P15_OFFLINE_MAX_SECONDS,TUNABLE,TRUE
P15_OFFLINE_MIN_SECONDS,INTEGER,60,SECONDS,0,3600,TXT_P15_OFFLINE_MIN_SECONDS,TUNABLE,TRUE
P15_TUTORIAL_TARGET_MINUTES,INTEGER,25,MINUTES,20,30,TXT_P15_TUTORIAL_TARGET_MINUTES,TUNABLE,TRUE
RAID_PARTY_MAX,INTEGER,8,COUNT,1,16,TXT_RAID_PARTY_MAX_DESCRIPTION,TUNABLE,TRUE
RAID_PARTY_MIN,INTEGER,6,COUNT,1,8,TXT_RAID_PARTY_MIN_DESCRIPTION,TUNABLE,TRUE
RARE_EQUIPMENT_AUTO_PROTECT,BOOLEAN,TRUE,BOOL,,,TXT_RARE_EQUIPMENT_AUTO_PROTECT_DESCRIPTION,TUNABLE,TRUE
ROSTER_CAP_V1,INTEGER,24,COUNT,1,24,TXT_ROSTER_CAP_V1_DESCRIPTION,TUNABLE,TRUE
STORE_PRICE_HIGH,DECIMAL,1.15,RATIO,0.5,2,TXT_STORE_PRICE_HIGH_DESCRIPTION,TUNABLE,TRUE
STORE_PRICE_LOW,DECIMAL,0.9,RATIO,0.5,2,TXT_STORE_PRICE_LOW_DESCRIPTION,TUNABLE,TRUE
STORE_PRICE_STANDARD,DECIMAL,1.0,RATIO,0.5,2,TXT_STORE_PRICE_STANDARD_DESCRIPTION,TUNABLE,TRUE
