job_id,skill_id,slot_no,unlock_rank_id,status,enabled
JOB_WARRIOR,SK_WAR_HEAVY_SLASH,1,RANK_APPRENTICE,CONFIRMED,TRUE
JOB_WARRIOR,SK_WAR_BATTLE_RUSH,2,RANK_REGULAR,CONFIRMED,TRUE
JOB_WARRIOR,SK_WAR_TENACITY,3,RANK_SKILLED,CONFIRMED,TRUE
JOB_GUARDIAN,SK_GUA_TAUNT,1,RANK_APPRENTICE,CONFIRMED,TRUE
JOB_GUARDIAN,SK_GUA_FORTRESS,2,RANK_REGULAR,CONFIRMED,TRUE
JOB_GUARDIAN,SK_GUA_GUARD_MARK,3,RANK_SKILLED,CONFIRMED,TRUE
JOB_ARCHER,SK_ARC_QUICK_SHOT,1,RANK_APPRENTICE,CONFIRMED,TRUE
JOB_ARCHER,SK_ARC_PIERCE,2,RANK_REGULAR,CONFIRMED,TRUE
JOB_ARCHER,SK_ARC_HUNTER_EYE,3,RANK_SKILLED,CONFIRMED,TRUE
JOB_MAGE,SK_MAG_FIRE_BURST,1,RANK_APPRENTICE,CONFIRMED,TRUE
JOB_MAGE,SK_MAG_FROST_NOVA,2,RANK_REGULAR,CONFIRMED,TRUE
JOB_MAGE,SK_MAG_MANA_FLOW,3,RANK_SKILLED,CONFIRMED,TRUE
JOB_CLERIC,SK_CLE_HEAL,1,RANK_APPRENTICE,CONFIRMED,TRUE
JOB_CLERIC,SK_CLE_BARRIER,2,RANK_REGULAR,CONFIRMED,TRUE
JOB_CLERIC,SK_CLE_BLESSING,3,RANK_SKILLED,CONFIRMED,TRUE
