equipment_template_id,job_id,status,enabled
EQ_T1_WARRIOR_WEAPON,JOB_WARRIOR,TUNABLE,TRUE
EQ_T1_GUARDIAN_WEAPON,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T1_ARCHER_WEAPON,JOB_ARCHER,TUNABLE,TRUE
EQ_T1_MAGE_WEAPON,JOB_MAGE,TUNABLE,TRUE
EQ_T1_CLERIC_WEAPON,JOB_CLERIC,TUNABLE,TRUE
EQ_T1_HEAVY_ARMOR,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T1_HEAVY_ARMOR,JOB_WARRIOR,TUNABLE,TRUE
EQ_T1_HEAVY_HELMET,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T1_HEAVY_HELMET,JOB_WARRIOR,TUNABLE,TRUE
EQ_T1_LIGHT_ARMOR,JOB_ARCHER,TUNABLE,TRUE
EQ_T1_LIGHT_HELMET,JOB_ARCHER,TUNABLE,TRUE
EQ_T1_CLOTH_ARMOR,JOB_CLERIC,TUNABLE,TRUE
EQ_T1_CLOTH_ARMOR,JOB_MAGE,TUNABLE,TRUE
EQ_T1_CLOTH_HELMET,JOB_CLERIC,TUNABLE,TRUE
EQ_T1_CLOTH_HELMET,JOB_MAGE,TUNABLE,TRUE
EQ_T1_POWER_ACCESSORY,JOB_ARCHER,TUNABLE,TRUE
EQ_T1_POWER_ACCESSORY,JOB_WARRIOR,TUNABLE,TRUE
EQ_T1_GUARD_ACCESSORY,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T1_WISDOM_ACCESSORY,JOB_CLERIC,TUNABLE,TRUE
EQ_T1_WISDOM_ACCESSORY,JOB_MAGE,TUNABLE,TRUE
EQ_T2_WARRIOR_WEAPON,JOB_WARRIOR,TUNABLE,TRUE
EQ_T2_GUARDIAN_WEAPON,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T2_ARCHER_WEAPON,JOB_ARCHER,TUNABLE,TRUE
EQ_T2_MAGE_WEAPON,JOB_MAGE,TUNABLE,TRUE
EQ_T2_CLERIC_WEAPON,JOB_CLERIC,TUNABLE,TRUE
EQ_T2_HEAVY_ARMOR,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T2_HEAVY_ARMOR,JOB_WARRIOR,TUNABLE,TRUE
EQ_T2_HEAVY_HELMET,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T2_HEAVY_HELMET,JOB_WARRIOR,TUNABLE,TRUE
EQ_T2_LIGHT_ARMOR,JOB_ARCHER,TUNABLE,TRUE
EQ_T2_LIGHT_HELMET,JOB_ARCHER,TUNABLE,TRUE
EQ_T2_CLOTH_ARMOR,JOB_CLERIC,TUNABLE,TRUE
EQ_T2_CLOTH_ARMOR,JOB_MAGE,TUNABLE,TRUE
EQ_T2_CLOTH_HELMET,JOB_CLERIC,TUNABLE,TRUE
EQ_T2_CLOTH_HELMET,JOB_MAGE,TUNABLE,TRUE
EQ_T2_POWER_ACCESSORY,JOB_ARCHER,TUNABLE,TRUE
EQ_T2_POWER_ACCESSORY,JOB_WARRIOR,TUNABLE,TRUE
EQ_T2_GUARD_ACCESSORY,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T2_WISDOM_ACCESSORY,JOB_CLERIC,TUNABLE,TRUE
EQ_T2_WISDOM_ACCESSORY,JOB_MAGE,TUNABLE,TRUE
EQ_T3_WARRIOR_WEAPON,JOB_WARRIOR,TUNABLE,TRUE
EQ_T3_GUARDIAN_WEAPON,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T3_ARCHER_WEAPON,JOB_ARCHER,TUNABLE,TRUE
EQ_T3_MAGE_WEAPON,JOB_MAGE,TUNABLE,TRUE
EQ_T3_CLERIC_WEAPON,JOB_CLERIC,TUNABLE,TRUE
EQ_T3_HEAVY_ARMOR,JOB_GUARDIAN,TUNABLE,TRUE
EQ_T3_HEAVY_ARMOR,JOB_WARRIOR,TUNABLE,TRUE
