recipe_id,name_text_key,facility_id,facility_level,npc_proficiency_id,craft_seconds,quality_roll,status,enabled
REC_EQ_T1_WARRIOR_WEAPON,TXT_REC_EQ_T1_WARRIOR_WEAPON_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,20,TRUE,TUNABLE,TRUE
REC_EQ_T1_GUARDIAN_WEAPON,TXT_REC_EQ_T1_GUARDIAN_WEAPON_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,20,TRUE,TUNABLE,TRUE
REC_EQ_T1_ARCHER_WEAPON,TXT_REC_EQ_T1_ARCHER_WEAPON_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,20,TRUE,TUNABLE,TRUE
REC_EQ_T1_MAGE_WEAPON,TXT_REC_EQ_T1_MAGE_WEAPON_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,20,TRUE,TUNABLE,TRUE
REC_EQ_T1_CLERIC_WEAPON,TXT_REC_EQ_T1_CLERIC_WEAPON_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,20,TRUE,TUNABLE,TRUE
REC_EQ_T1_HEAVY_ARMOR,TXT_REC_EQ_T1_HEAVY_ARMOR_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,18,TRUE,TUNABLE,TRUE
REC_EQ_T1_HEAVY_HELMET,TXT_REC_EQ_T1_HEAVY_HELMET_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,14,TRUE,TUNABLE,TRUE
REC_EQ_T1_LIGHT_ARMOR,TXT_REC_EQ_T1_LIGHT_ARMOR_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,18,TRUE,TUNABLE,TRUE
REC_EQ_T1_LIGHT_HELMET,TXT_REC_EQ_T1_LIGHT_HELMET_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,14,TRUE,TUNABLE,TRUE
REC_EQ_T1_CLOTH_ARMOR,TXT_REC_EQ_T1_CLOTH_ARMOR_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,18,TRUE,TUNABLE,TRUE
REC_EQ_T1_CLOTH_HELMET,TXT_REC_EQ_T1_CLOTH_HELMET_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,14,TRUE,TUNABLE,TRUE
REC_EQ_T1_POWER_ACCESSORY,TXT_REC_EQ_T1_POWER_ACCESSORY_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,16,TRUE,TUNABLE,TRUE
REC_EQ_T1_GUARD_ACCESSORY,TXT_REC_EQ_T1_GUARD_ACCESSORY_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,16,TRUE,TUNABLE,TRUE
REC_EQ_T1_WISDOM_ACCESSORY,TXT_REC_EQ_T1_WISDOM_ACCESSORY_NAME,FAC_BLACKSMITH,1,NPC_APPRENTICE,16,TRUE,TUNABLE,TRUE
REC_EQ_T2_WARRIOR_WEAPON,TXT_REC_EQ_T2_WARRIOR_WEAPON_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,40,TRUE,TUNABLE,TRUE
REC_EQ_T2_GUARDIAN_WEAPON,TXT_REC_EQ_T2_GUARDIAN_WEAPON_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,40,TRUE,TUNABLE,TRUE
REC_EQ_T2_ARCHER_WEAPON,TXT_REC_EQ_T2_ARCHER_WEAPON_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,40,TRUE,TUNABLE,TRUE
REC_EQ_T2_MAGE_WEAPON,TXT_REC_EQ_T2_MAGE_WEAPON_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,40,TRUE,TUNABLE,TRUE
REC_EQ_T2_CLERIC_WEAPON,TXT_REC_EQ_T2_CLERIC_WEAPON_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,40,TRUE,TUNABLE,TRUE
REC_EQ_T2_HEAVY_ARMOR,TXT_REC_EQ_T2_HEAVY_ARMOR_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,36,TRUE,TUNABLE,TRUE
REC_EQ_T2_HEAVY_HELMET,TXT_REC_EQ_T2_HEAVY_HELMET_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,28,TRUE,TUNABLE,TRUE
REC_EQ_T2_LIGHT_ARMOR,TXT_REC_EQ_T2_LIGHT_ARMOR_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,36,TRUE,TUNABLE,TRUE
REC_EQ_T2_LIGHT_HELMET,TXT_REC_EQ_T2_LIGHT_HELMET_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,28,TRUE,TUNABLE,TRUE
REC_EQ_T2_CLOTH_ARMOR,TXT_REC_EQ_T2_CLOTH_ARMOR_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,36,TRUE,TUNABLE,TRUE
REC_EQ_T2_CLOTH_HELMET,TXT_REC_EQ_T2_CLOTH_HELMET_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,28,TRUE,TUNABLE,TRUE
REC_EQ_T2_POWER_ACCESSORY,TXT_REC_EQ_T2_POWER_ACCESSORY_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,32,TRUE,TUNABLE,TRUE
REC_EQ_T2_GUARD_ACCESSORY,TXT_REC_EQ_T2_GUARD_ACCESSORY_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,32,TRUE,TUNABLE,TRUE
REC_EQ_T2_WISDOM_ACCESSORY,TXT_REC_EQ_T2_WISDOM_ACCESSORY_NAME,FAC_BLACKSMITH,2,NPC_APPRENTICE,32,TRUE,TUNABLE,TRUE
