trait_id,job_id,status,enabled
TRAIT_STRONG,JOB_ARCHER,TUNABLE,TRUE
TRAIT_STRONG,JOB_CLERIC,TUNABLE,TRUE
TRAIT_STRONG,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_STRONG,JOB_MAGE,TUNABLE,TRUE
TRAIT_STRONG,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_STURDY,JOB_ARCHER,TUNABLE,TRUE
TRAIT_STURDY,JOB_CLERIC,TUNABLE,TRUE
TRAIT_STURDY,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_STURDY,JOB_MAGE,TUNABLE,TRUE
TRAIT_STURDY,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_KEEN_EYE,JOB_ARCHER,TUNABLE,TRUE
TRAIT_KEEN_EYE,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_ARCANE,JOB_CLERIC,TUNABLE,TRUE
TRAIT_ARCANE,JOB_MAGE,TUNABLE,TRUE
TRAIT_LUCKY,JOB_ARCHER,TUNABLE,TRUE
TRAIT_LUCKY,JOB_CLERIC,TUNABLE,TRUE
TRAIT_LUCKY,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_LUCKY,JOB_MAGE,TUNABLE,TRUE
TRAIT_LUCKY,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_SCAVENGER,JOB_ARCHER,TUNABLE,TRUE
TRAIT_SCAVENGER,JOB_CLERIC,TUNABLE,TRUE
TRAIT_SCAVENGER,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_SCAVENGER,JOB_MAGE,TUNABLE,TRUE
TRAIT_SCAVENGER,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_BOSS_HUNTER,JOB_ARCHER,TUNABLE,TRUE
TRAIT_BOSS_HUNTER,JOB_CLERIC,TUNABLE,TRUE
TRAIT_BOSS_HUNTER,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_BOSS_HUNTER,JOB_MAGE,TUNABLE,TRUE
TRAIT_BOSS_HUNTER,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_POISON_RESIST,JOB_ARCHER,TUNABLE,TRUE
TRAIT_POISON_RESIST,JOB_CLERIC,TUNABLE,TRUE
TRAIT_POISON_RESIST,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_POISON_RESIST,JOB_MAGE,TUNABLE,TRUE
TRAIT_POISON_RESIST,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_FROSTBORN,JOB_ARCHER,TUNABLE,TRUE
TRAIT_FROSTBORN,JOB_CLERIC,TUNABLE,TRUE
TRAIT_FROSTBORN,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_FROSTBORN,JOB_MAGE,TUNABLE,TRUE
TRAIT_FROSTBORN,JOB_WARRIOR,TUNABLE,TRUE
TRAIT_SURVIVOR,JOB_ARCHER,TUNABLE,TRUE
TRAIT_SURVIVOR,JOB_CLERIC,TUNABLE,TRUE
TRAIT_SURVIVOR,JOB_GUARDIAN,TUNABLE,TRUE
TRAIT_SURVIVOR,JOB_MAGE,TUNABLE,TRUE
TRAIT_SURVIVOR,JOB_WARRIOR,TUNABLE,TRUE
